Gene ID	source_id	Product Description	Gene Type	Input ID
PF3D7_0100100	PF3D7_0100100.1	erythrocyte membrane protein 1, PfEMP1	protein coding gene	PF3D7_0100100
PF3D7_0100200	PF3D7_0100200.1	rifin	protein coding gene	PF3D7_0100200
PF3D7_0100300	PF3D7_0100300.1	erythrocyte membrane protein 1, PfEMP1	protein coding gene	PF3D7_0100300
PF3D7_0100400	PF3D7_0100400.1	rifin	protein coding gene	PF3D7_0100400
PF3D7_0100500	PF3D7_0100500.1	erythrocyte membrane protein 1 (PfEMP1), exon 1, pseudogene	pseudogene	PF3D7_0100500
PF3D7_0100600	PF3D7_0100600.1	rifin	protein coding gene	PF3D7_0100600
PF3D7_0100700	PF3D7_0100700.1	Plasmodium exported protein, unknown function, fragment	protein coding gene	PF3D7_0100700
PF3D7_0100800	PF3D7_0100800.1	rifin	protein coding gene	PF3D7_0100800
PF3D7_0100900	PF3D7_0100900.1	rifin	protein coding gene	PF3D7_0100900
PF3D7_0101000	PF3D7_0101000.1	rifin	protein coding gene	PF3D7_0101000
PF3D7_0101100	PF3D7_0101100.1	exported protein family 4	protein coding gene	PF3D7_0101100
PF3D7_0101200	PF3D7_0101200.1	exported protein family 3	protein coding gene	PF3D7_0101200
PF3D7_0101300	PF3D7_0101300.1	Pfmc-2TM Maurer's cleft two transmembrane protein	protein coding gene	PF3D7_0101300
PF3D7_0101400	PF3D7_0101400.1	exported protein family 1, pseudogene	pseudogene	PF3D7_0101400
PF3D7_0101500	PF3D7_0101500.1	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene	pseudogene	PF3D7_0101500
PF3D7_0101600	PF3D7_0101600.1	rifin	protein coding gene	PF3D7_0101600
PF3D7_0101700	PF3D7_0101700.1	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene	pseudogene	PF3D7_0101700
PF3D7_0101800	PF3D7_0101800.1	stevor	protein coding gene	PF3D7_0101800
PF3D7_0101900	PF3D7_0101900.1	rifin	protein coding gene	PF3D7_0101900
PF3D7_0102000	PF3D7_0102000.1	Plasmodium exported protein (PHISTa), unknown function, pseudogene	pseudogene	PF3D7_0102000
