T05|SRR6055337
T10|SRR6055338
T15|SRR6055339
T20|SRR6055340
T25|SRR6055341
T30|SRR6055342
T35|SRR6055343
T40|SRR6055344
Steady_state ring 0h|SRR835998
Polysomal ring 0h|SRR836068
Steady_state troph 18h|SRR836066
Polysomal troph 18h|SRR836069
Steady_state schiz 36h|SRR836067
Polysomal schiz 36h|SRR836070
Polysomal schiz 36h__2|SRR836071
ring 11h|SRR1378555
troph 21h|SRR1378556
troph 31h|SRR1378557
schiz 45h|SRR1378558
merozoite|SRR1378559
ring 11h__2|SRR1378560
troph 21h__2|SRR1378561
troph 31h__2|SRR1378562
schiz 45h__2|SRR1378563
merozoite__2|SRR1378564
0hr 3D7 DAFT-seq|ERR2234550
0hr 3D7 DAFT-seq__2|ERR2234564
8hr 3D7 DAFT-seq|ERR2234551
8hr 3D7 DAFT-seq__2|ERR2234565
16hr 3D7 DAFT-seq|ERR2234552
16hr 3D7 DAFT-seq__2|ERR2234566
24hr 3D7 DAFT-seq|ERR2234553
24hr 3D7 DAFT-seq__2|ERR2234567
32hr 3D7 DAFT-seq|ERR2234554
32hr 3D7 DAFT-seq__2|ERR2234568
40hr 3D7 DAFT-seq|ERR2234555
40hr 3D7 DAFT-seq__2|ERR2234569
48hr 3D7 DAFT-seq|ERR2234556
48hr 3D7 DAFT-seq__2|ERR2234570
0hr HB3 DAFT-seq|ERR2234536
0hr HB3 DAFT-seq__2|ERR2234543
8hr HB3 DAFT-seq|ERR2234537
8hr HB3 DAFT-seq__2|ERR2234544
16hr HB3 DAFT-seq|ERR2234538
16hr HB3 DAFT-seq__2|ERR2234545
24hr HB3 DAFT-seq|ERR2234539
24hr HB3 DAFT-seq__2|ERR2234546
32hr HB3 DAFT-seq|ERR2234540
32hr HB3 DAFT-seq__2|ERR2234547
40hr HB3 DAFT-seq|ERR2234541
40hr HB3 DAFT-seq__2|ERR2234548
48hr HB3 DAFT-seq|ERR2234542
48hr HB3 DAFT-seq__2|ERR2234549
0hr IT DAFT-seq|ERR2234557
0hr IT DAFT-seq__2|ERR2234571
8hr IT DAFT-seq|ERR2234558
8hr IT DAFT-seq__2|ERR2234572
16hr IT DAFT-seq|ERR2234559
16hr IT DAFT-seq__2|ERR2234573
24hr IT DAFT-seq|ERR2234560
24hr IT DAFT-seq__2|ERR2234574
32hr IT DAFT-seq|ERR2234561
32hr IT DAFT-seq__2|ERR2234575
40hr IT DAFT-seq|ERR2234562
40hr IT DAFT-seq__2|ERR2234576
48hr IT DAFT-seq|ERR2234563
48hr IT DAFT-seq__2|ERR2234577
Sporozoites|SRR1041266
Sporozoites__2|SRR1041267
Cultured sporozoites|SRR1041268
Cultured sporozoites__2|SRR1041269
Asexual blood stage|SRR1041270
Asexual blood stage__2|SRR1041271
ring|SRR11292890
ring__2|SRR11292889
schizont|SRR11292868
schizont__2|SRR11292860
schizont__3|SRR11292859
troph|SRR11292882
troph__2|SRR11292893
troph__3|SRR11292876
asexual blood stages|SRR3055688
asexual blood stages__2|SRR3055689
asexual blood stages__3|SRR3055690
asexual blood stages__4|SRR3055691
midgut oocysts|SRR3055681
midgut oocysts__2|SRR3055682
midgut oocysts__3|SRR3055683
salivary gland sporozoites|SRR3055684
salivary gland sporozoites__2|SRR3055685
salivary gland sporozoites__3|SRR3055686
salivary gland sporozoites__4|SRR3055687
Trophozoite|SRR3274041
Trophozoite__2|SRR3274042
Schizont|SRR3274043
Schizont__2|SRR3274044
Schizont__3|SRR3274045
Schizont__4|SRR3274046
ITG-ICAM1 binding|SRR12025843
3D7-ICAM1 binding|SRR12025844
3D7-Hbec-5i binding|SRR12025845
HB3-Hbec-5i binding|SRR12025846
HB3-CD36 binding|SRR12025847
male gametocyte|SRR2981459
male gametocyte__2|SRR2981461
female gametocyte|SRR2981460
CH_1002|ERR3470491
CH_1014|ERR3470495
CH_142|ERR3470496
CH_148|ERR3470497
CH_426|ERR3470499
CH_477|ERR3470501
CH_484|ERR3470502
CH_488|ERR3470503
CH_499|ERR3470492
CH_505|ERR3470493
CH_513|ERR3470494
CM_149|ERR3470484
CM_207|ERR3470486
CM_497|ERR3470487
CM_503|ERR3470488
CM_88|ERR3470490
HL_1026|ERR3470504
HL_133|ERR3470505
HL_157|ERR3470506
HL_171|ERR3470507
HL_307|ERR3470508
HL_551|ERR3470510
HL_998|ERR3470511
UM_301|ERR3470512
UM_302|ERR3470514
UM_309|ERR3470515
UM_314|ERR3470516
UM_326|ERR3470517
UM_330|ERR3470519
UM_333|ERR3470520
UM_365|ERR3470521
UM_380|ERR3470522
UM_381|ERR3470523
UM_423|ERR3470524
UM_427|ERR3470526
UM_434|ERR3470527
