"Gene ID","source_id"
"PF3D7_0112300","PF3D7_0112300.1"
"PF3D7_0112500","PF3D7_0112500.1"
"PF3D7_0112700","PF3D7_0112700.1"
"PF3D7_0203500","PF3D7_0203500.1"
"PF3D7_0312600","PF3D7_0312600.1"
"PF3D7_0312700","PF3D7_0312700.1"
"PF3D7_0403000","PF3D7_0403000.1"
"PF3D7_0410100","PF3D7_0410100.1"
"PF3D7_0410200","PF3D7_0410200.1"
"PF3D7_0411500","PF3D7_0411500.1"
"PF3D7_0411600","PF3D7_0411600.1"
"PF3D7_0510600","PF3D7_0510600.1"
"PF3D7_0514400","PF3D7_0514400.1"
"PF3D7_0527700","PF3D7_0527700.1"
"PF3D7_0527800","PF3D7_0527800.1"
"PF3D7_0529600","PF3D7_0529600.1"
"PF3D7_0531600","PF3D7_0531600.1"
"PF3D7_0531800","PF3D7_0531800.1"
"PF3D7_0532000","PF3D7_0532000.1"
"PF3D7_0620800","PF3D7_0620800.1"
"PF3D7_0620900","PF3D7_0620900.1"
"PF3D7_0621600","PF3D7_0621600.1"
"PF3D7_0702700","PF3D7_0702700.1"
"PF3D7_0702800","PF3D7_0702800.1"
"PF3D7_0706800","PF3D7_0706800.1"
"PF3D7_0706900","PF3D7_0706900.1"
"PF3D7_0707000","PF3D7_0707000.1"
"PF3D7_0707100","PF3D7_0707100.1"
"PF3D7_0714700","PF3D7_0714700.1"
"PF3D7_0714800","PF3D7_0714800.1"
"PF3D7_0714900","PF3D7_0714900.1"
"PF3D7_0725600","PF3D7_0725600.1"
"PF3D7_0725800","PF3D7_0725800.1"
"PF3D7_0726000","PF3D7_0726000.1"
"PF3D7_0730600","PF3D7_0730600.1"
"PF3D7_0730700","PF3D7_0730700.1"
"PF3D7_0801100","PF3D7_0801100.1"
"PF3D7_0801200","PF3D7_0801200.1"
"PF3D7_0830000","PF3D7_0830000.1"
"PF3D7_0830200","PF3D7_0830200.1"
"PF3D7_1103200","PF3D7_1103200.1"
"PF3D7_1103300","PF3D7_1103300.1"
"PF3D7_1148600","PF3D7_1148600.1"
"PF3D7_1148620","PF3D7_1148620.1"
"PF3D7_1148640","PF3D7_1148640.1"
"PF3D7_1216800","PF3D7_1216800.1"
"PF3D7_1251900","PF3D7_1251900.1"
"PF3D7_1252000","PF3D7_1252000.1"
"PF3D7_1337600","PF3D7_1337600.1"
"PF3D7_1339100","PF3D7_1339100.1"
"PF3D7_1339200","PF3D7_1339200.1"
"PF3D7_1341000","PF3D7_1341000.1"
"PF3D7_1355400","PF3D7_1355400.1"
"PF3D7_1369800","PF3D7_1369800.1"
"PF3D7_1369900","PF3D7_1369900.1"
"PF3D7_1370000","PF3D7_1370000.1"
"PF3D7_1370100","PF3D7_1370100.1"
"PF3D7_1370200","PF3D7_1370200.1"
"PF3D7_1371000","PF3D7_1371000.1"
"PF3D7_1371200","PF3D7_1371200.1"
"PF3D7_1371300","PF3D7_1371300.1"
"PF3D7_1418400","PF3D7_1418400.1"
"PF3D7_1418500","PF3D7_1418500.1"
"PF3D7_1418600","PF3D7_1418600.1"
"PF3D7_1418700","PF3D7_1418700.1"
"PF3D7_1438200","PF3D7_1438200.1"
"PF3D7_1438300","PF3D7_1438300.1"
"PF3D7_API00200","PF3D7_API00200.1"
"PF3D7_API00300","PF3D7_API00300.1"
"PF3D7_API00450","PF3D7_API00450.1"
"PF3D7_API00600","PF3D7_API00600.1"
"PF3D7_API00700","PF3D7_API00700.1"
"PF3D7_API00800","PF3D7_API00800.1"
"PF3D7_API00900","PF3D7_API00900.1"
"PF3D7_API01000","PF3D7_API01000.1"
"PF3D7_API01100","PF3D7_API01100.1"
"PF3D7_API01200","PF3D7_API01200.1"
"PF3D7_API03100","PF3D7_API03100.1"
"PF3D7_API03200","PF3D7_API03200.1"
"PF3D7_API03300","PF3D7_API03300.1"
"PF3D7_API03400","PF3D7_API03400.1"
"PF3D7_API03700","PF3D7_API03700.1"
"PF3D7_API03900","PF3D7_API03900.1"
"PF3D7_API04800","PF3D7_API04800.1"
"PF3D7_API04900","PF3D7_API04900.1"
"PF3D7_API05000","PF3D7_API05000.1"
"PF3D7_API05100","PF3D7_API05100.1"
"PF3D7_API05200","PF3D7_API05200.1"
"PF3D7_API05300","PF3D7_API05300.1"
"PF3D7_API05400","PF3D7_API05400.1"
"PF3D7_API05500","PF3D7_API05500.1"
"PF3D7_API05600","PF3D7_API05600.1"
"PF3D7_API05700","PF3D7_API05700.1"
"PF3D7_API05800","PF3D7_API05800.1"
"PF3D7_API05900","PF3D7_API05900.1"
"PF3D7_API06000","PF3D7_API06000.1"
"PF3D7_API06100","PF3D7_API06100.1"
"PF3D7_API06200","PF3D7_API06200.1"
"PF3D7_API06300","PF3D7_API06300.1"
"PF3D7_API06400","PF3D7_API06400.1"
"PF3D7_API06500","PF3D7_API06500.1"
"PF3D7_API06600","PF3D7_API06600.1"
"PF3D7_API06700","PF3D7_API06700.1"
"PF3D7_API06800","PF3D7_API06800.1"
"PF3D7_MIT00100","PF3D7_MIT00100.1"
"PF3D7_MIT00200","PF3D7_MIT00200.1"
"PF3D7_MIT00300","PF3D7_MIT00300.1"
"PF3D7_MIT00400","PF3D7_MIT00400.1"
"PF3D7_MIT00500","PF3D7_MIT00500.1"
"PF3D7_MIT00600","PF3D7_MIT00600.1"
"PF3D7_MIT00700","PF3D7_MIT00700.1"
"PF3D7_MIT00800","PF3D7_MIT00800.1"
"PF3D7_MIT00900","PF3D7_MIT00900.1"
"PF3D7_MIT01000","PF3D7_MIT01000.1"
"PF3D7_MIT01100","PF3D7_MIT01100.1"
"PF3D7_MIT01200","PF3D7_MIT01200.1"
"PF3D7_MIT01300","PF3D7_MIT01300.1"
"PF3D7_MIT01500","PF3D7_MIT01500.1"
"PF3D7_MIT01600","PF3D7_MIT01600.1"
"PF3D7_MIT01700","PF3D7_MIT01700.1"
"PF3D7_MIT01800","PF3D7_MIT01800.1"
"PF3D7_MIT01900","PF3D7_MIT01900.1"
"PF3D7_MIT02000","PF3D7_MIT02000.1"
"PF3D7_MIT02200","PF3D7_MIT02200.1"
"PF3D7_MIT02400","PF3D7_MIT02400.1"
"PF3D7_MIT02500","PF3D7_MIT02500.1"
"PF3D7_MIT02600","PF3D7_MIT02600.1"
"PF3D7_MIT02700","PF3D7_MIT02700.1"
"PF3D7_MIT02800","PF3D7_MIT02800.1"
"PF3D7_MIT02900","PF3D7_MIT02900.1"
"PF3D7_MIT03000","PF3D7_MIT03000.1"
"PF3D7_MIT03100","PF3D7_MIT03100.1"
"PF3D7_MIT03200","PF3D7_MIT03200.1"
"PF3D7_MIT03300","PF3D7_MIT03300.1"
"PF3D7_MIT03400","PF3D7_MIT03400.1"
"PF3D7_MIT03500","PF3D7_MIT03500.1"
