Gene ID	source_id	Computed GO Component IDs	Computed GO Function IDs	Computed GO Process IDs	Curated GO Component IDs	Curated GO Function IDs	Curated GO Process IDs
PF3D7_0100100	PF3D7_0100100.1	GO:0016021	GO:0046789	GO:0009405	GO:0020002;GO:0020030	GO:0050839	GO:0020033;GO:0098609;GO:0020035;GO:0020013
PF3D7_0100200	PF3D7_0100200.1	GO:0016021	N/A	N/A	GO:0020036;GO:0020002;GO:0020003	N/A	GO:0020033;GO:0020035;GO:0020013
PF3D7_0100300	PF3D7_0100300.1	GO:0016021	GO:0046789	GO:0009405	N/A	N/A	N/A
PF3D7_0100400	PF3D7_0100400.1	GO:0016021	N/A	N/A	GO:0020036;GO:0020002;GO:0020003	GO:0046812	GO:0020033;GO:0020035;GO:0020013
PF3D7_0100500	PF3D7_0100500.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0100600	PF3D7_0100600.1	GO:0016021	N/A	N/A	GO:0020002	N/A	GO:0020033
PF3D7_0100700	PF3D7_0100700.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0100800	PF3D7_0100800.1	GO:0016021	N/A	N/A	GO:0020036;GO:0020002;GO:0020003	N/A	GO:0020033;GO:0020035;GO:0020013
PF3D7_0100900	PF3D7_0100900.1	GO:0016021	N/A	N/A	GO:0020036;GO:0020002;GO:0020003	N/A	GO:0020033;GO:0020035;GO:0020013
PF3D7_0101000	PF3D7_0101000.1	GO:0016021	N/A	N/A	GO:0020036;GO:0020002;GO:0020003	N/A	GO:0020033;GO:0020035;GO:0020013
PF3D7_0101100	PF3D7_0101100.1	GO:0016021	N/A	N/A	GO:0020036	N/A	N/A
PF3D7_0101200	PF3D7_0101200.1	N/A	N/A	N/A	GO:0020036;GO:0030430	N/A	N/A
PF3D7_0101300	PF3D7_0101300.1	N/A	N/A	N/A	GO:0020036;GO:0016021;GO:0016020	N/A	GO:0042000
PF3D7_0101400	PF3D7_0101400.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0101500	PF3D7_0101500.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0101600	PF3D7_0101600.1	GO:0016021	N/A	N/A	GO:0020036;GO:0020002;GO:0020003	N/A	GO:0020033;GO:0020035;GO:0020013
PF3D7_0101700	PF3D7_0101700.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0101800	PF3D7_0101800.1	GO:0016021	N/A	N/A	GO:0020036	N/A	GO:0020013
PF3D7_0101900	PF3D7_0101900.1	GO:0016021	N/A	N/A	GO:0020002	N/A	GO:0020033
PF3D7_0102000	PF3D7_0102000.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0102100	PF3D7_0102100.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0102200	PF3D7_0102200.1	N/A	N/A	N/A	GO:1903561;GO:0020020;GO:0020002;GO:0044228;GO:0020026;GO:0020003	GO:0005515	GO:0050776
PF3D7_0102300	PF3D7_0102300.1	N/A	N/A	N/A	GO:0020011;GO:0043657	N/A	N/A
PF3D7_0102400	PF3D7_0102400.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0102500	PF3D7_0102500.1	GO:0016021	GO:0046789	GO:0009405	GO:1903561;GO:0020009	GO:0008201;GO:0033691	GO:0098609;GO:0044409
PF3D7_0102600	PF3D7_0102600.1	GO:0016021	GO:0005524;GO:0004672	GO:0006468	GO:0020036;GO:0005737;GO:0005634	GO:0004674	GO:0035556;GO:0044003;GO:0006468
PF3D7_0102700	PF3D7_0102700.1	N/A	N/A	N/A	GO:0009986	N/A	N/A
PF3D7_0102800	PF3D7_0102800.1	GO:0005789;GO:0016021	N/A	GO:0006629;GO:0019915	N/A	N/A	N/A
PF3D7_0102900	PF3D7_0102900.1	GO:0005737	GO:0005524;GO:0004812;GO:0004815;GO:0003676;GO:0000166	GO:0006422;GO:0006418	GO:0017101;GO:0005829;GO:0005634	GO:0003723;GO:0004815;GO:0042803	GO:0006422
PF3D7_0103000	PF3D7_0103000.1	GO:0010008	N/A	GO:0015031	GO:0005771	N/A	GO:0032511
PF3D7_0103100	PF3D7_0103100.1	GO:0005829	N/A	N/A	GO:1990745;GO:0000938;GO:0005794;GO:0016020	N/A	GO:0007030;GO:0048193;GO:0032456;GO:0007041;GO:0015031;GO:0042147
PF3D7_0103200	PF3D7_0103200.1	GO:0016021	N/A	N/A	GO:0016020	GO:0005345;GO:0015211	GO:0006863;GO:0015860
PF3D7_0103300	PF3D7_0103300.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0103400	PF3D7_0103400.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0103500	PF3D7_0103500.1	GO:0016021	N/A	N/A	N/A	N/A	N/A
PF3D7_0103600	PF3D7_0103600.1	GO:0016021	GO:0005524;GO:0003724;GO:0003676	N/A	GO:0020011;GO:0005737;GO:0005730;GO:0005634	GO:0043138;GO:0043139;GO:0016887;GO:0003724	N/A
PF3D7_0103700	PF3D7_0103700.1	N/A	GO:0043915	N/A	N/A	GO:0016301;GO:0000049	N/A
PF3D7_0103800	PF3D7_0103800.1	N/A	N/A	N/A	GO:0020036;GO:0045177;GO:0005869	GO:0005200	N/A
PF3D7_0103900	PF3D7_0103900.1	GO:0016021;GO:0016020	N/A	N/A	GO:0030134;GO:0000139;GO:0005789;GO:0005793	GO:0005537;GO:0005515	GO:0007030;GO:0007029;GO:0006888
PF3D7_0104000	PF3D7_0104000.1	GO:0016021	N/A	GO:0007165	GO:0009986	N/A	GO:0044409
PF3D7_0104100	PF3D7_0104100.1	GO:0016021	N/A	N/A	GO:0045177;GO:0045178;GO:0009986;GO:0016020;GO:0020005	N/A	GO:0052553
PF3D7_0104200	PF3D7_0104200.1	N/A	N/A	N/A	GO:0044164;GO:0016021;GO:0016020;GO:0020003	GO:0008525;GO:0008526	GO:2001139;GO:0015914
PF3D7_0104300	PF3D7_0104300.1	N/A	GO:0004843	GO:0006511	GO:0005829;GO:0005634;GO:0000502	GO:0004197;GO:0004843	GO:0006897;GO:0016579;GO:0009410;GO:0006511
PF3D7_0104400	PF3D7_0104400.1	GO:0016021	GO:0051539;GO:0051745;GO:0046872	GO:0050992;GO:0019288	GO:0020011	GO:0051745	GO:0019288
PF3D7_0104500	PF3D7_0104500.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0104600	PF3D7_0104600.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0104700	PF3D7_0104700.1	GO:0016021	N/A	N/A	GO:0005886	N/A	N/A
PF3D7_0104800	PF3D7_0104800.1	GO:0016021	N/A	N/A	GO:0071944;GO:0005886	N/A	GO:0015819
PF3D7_0104900	PF3D7_0104900.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0105000	PF3D7_0105000.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0105100	PF3D7_0105100.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0105200	PF3D7_0105200.1	N/A	N/A	N/A	GO:0005739	GO:0003729;GO:0097177;GO:0019843	N/A
PF3D7_0105300	PF3D7_0105300.1	N/A	GO:0003779	GO:0000902;GO:0007010	GO:0030864	GO:0003779;GO:0003785;GO:0008179;GO:0046983	GO:0008154;GO:0000902;GO:0007163;GO:0045761
PF3D7_0105400	PF3D7_0105400.1	GO:0016021	N/A	N/A	N/A	N/A	N/A
PF3D7_0105400	PF3D7_0105400.2	GO:0016021	N/A	N/A	N/A	N/A	N/A
PF3D7_0105500	PF3D7_0105500.1	N/A	N/A	N/A	GO:0005739	N/A	N/A
PF3D7_0105600	PF3D7_0105600.1	GO:0016021	GO:0008168	GO:0032259	GO:0005737;GO:0005634	GO:0004483	GO:0006370;GO:0097309
PF3D7_0105700	PF3D7_0105700.1	N/A	N/A	N/A	GO:0048188;GO:0005634	GO:0003729	GO:0051568
PF3D7_0105800	PF3D7_0105800.1	N/A	GO:0016538	GO:0007049;GO:0051301	GO:0005634	N/A	N/A
PF3D7_0105900	PF3D7_0105900.1	N/A	GO:0008408;GO:0003676	GO:0006139	GO:0005737;GO:0005634	GO:0008408;GO:0003677	N/A
PF3D7_0106000	PF3D7_0106000.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0106100	PF3D7_0106100.1	GO:0033180	GO:0015078	GO:1902600	GO:0005753;GO:0005634;GO:0000221	GO:0008553;GO:0046961	GO:0015986
PF3D7_0106200	PF3D7_0106200.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0106300	PF3D7_0106300.1	GO:0016021	GO:0005524;GO:0000166	N/A	N/A	GO:0016887;GO:0005388;GO:0008553;GO:0003723	GO:0070588;GO:0006816;GO:0006874;GO:0042493;GO:0009410
PF3D7_0106400	PF3D7_0106400.1	N/A	N/A	N/A	N/A	N/A	GO:0000462
PF3D7_0106500	PF3D7_0106500.1	N/A	N/A	N/A	N/A	N/A	N/A
